Prov/Kota/Kab,Bulan,Pendapatan,Belanja Daerah
Provinsi Jambi,1,217183594840,58954156206
Provinsi Jambi,2,488974688030,126488287830
Provinsi Jambi,3,754179931337,259787780419
Provinsi Jambi,4,886907305752,401934980679
Provinsi Jambi,5,1016829899964,848950215993
Provinsi Jambi,6,1823085365483,1537521735492
Provinsi Jambi,7,1980481975129,1785001902415
Provinsi Jambi,8,2518067665996,2150722343266
Provinsi Jambi,9,3150168683630,2416984212564
Provinsi Jambi,10,3679747881864,2788499771570
Provinsi Jambi,11,4060558158266,3140740159242
Provinsi Jambi,12,4725724403283,4376358062778
Kota Jambi,1,166780107992,59412967028
Kota Jambi,2,182097916980,70252124710
Kota Jambi,3,267405621973,161661602180
Kota Jambi,4,375284584763,278860437427
Kota Jambi,5,526175576945,434510731653
Kota Jambi,6,745105503913,549735824270
Kota Jambi,7,850658082465,715719884049
Kota Jambi,8,930546727122,871864305033
Kota Jambi,9,1153750706995,1018569391266
Kota Jambi,10,1267706431400,1150493864097
Kota Jambi,11,1521877289867,1387633133417
Kota Jambi,12,1664884720137,1743398104156
Muaro Jambi,1,114279698133,41551813491
Muaro Jambi,2,191810457102,54442589212
Muaro Jambi,3,263942629878,126526854278
Muaro Jambi,4,336191403936,209721294500
Muaro Jambi,5,462581127624,304711251432
Muaro Jambi,6,1013253510478,418206025864
Muaro Jambi,7,635795994951,501426917675
Muaro Jambi,8,731264182934,591663778526
Muaro Jambi,9,827979288372,678632046258
Muaro Jambi,10,958938633262,766272892417
Muaro Jambi,11,970236846851,886814737709
Muaro Jambi,12,970236846851,886814737709
Batanghari,1,105586702097,46897727029
Batanghari,2,216310917345,151057552282
Batanghari,3,288882616286,143923017824
Batanghari,4,364714784003,285828235485
Batanghari,5,497475027493,388813635144
Batanghari,6,589556802902,477685513130
Batanghari,7,663615890231,594522507861
Batanghari,8,811023934091,699659817930
Batanghari,9,924717485016,785555125471
Batanghari,10,1030097691204,886257581151
Batanghari,11,1197691944118,1009773924575
Batanghari,12,1350080301154,1256846303397
Tanjung Jabung Timur,1,91837453336,20382764480
Tanjung Jabung Timur,2,159749544681,44764809596
Tanjung Jabung Timur,3,208510914033,77534837508
Tanjung Jabung Timur,4,310035221002,151888836401
Tanjung Jabung Timur,5,408417068055,266319891508
Tanjung Jabung Timur,6,488148876524,323804949932
Tanjung Jabung Timur,7,524069644855,427568622075
Tanjung Jabung Timur,8,594521208296,512839385480
Tanjung Jabung Timur,9,744081208952,583872693586
Tanjung Jabung Timur,10,880199091022,683618446027
Tanjung Jabung Timur,11,982466368479,809081818440
Tanjung Jabung Timur,12,1165762648608,1052278992345
Tanjung Jabung Barat,1,46093027992,14865820121
Tanjung Jabung Barat,2,48866091845,37110367117
Tanjung Jabung Barat,3,53353681007,103983021741
Tanjung Jabung Barat,4,297932267484,169437878121
Tanjung Jabung Barat,5,301612880257,278150245861
Tanjung Jabung Barat,6,485339542233,363699998623
Tanjung Jabung Barat,7,694716368483,500924730082
Tanjung Jabung Barat,8,699650826046,593079440368
Tanjung Jabung Barat,9,773065424015,679791391298
Tanjung Jabung Barat,10,931767236810,800552175403
Tanjung Jabung Barat,11,1135670543768,961201010900
Tanjung Jabung Barat,12,1349753595176,1232933098885
Sarolangun,1,60680701741,18040600142
Sarolangun,2,105943581410,18040600142
Sarolangun,3,203858628756,98193538284
Sarolangun,4,276510824690,170734428398
Sarolangun,5,389490199274,235841268511
Sarolangun,6,484639936774,280635006557
Sarolangun,7,551144464049,362685036142
Sarolangun,8,651629700454,487774684261
Sarolangun,9,771727349412,604831135029
Sarolangun,10,894759099936,663270930532
Sarolangun,11,995738503010,908308909551
Sarolangun,12,1104157164890,1023821000944
Merangin,1,62364589130,27479363790
Merangin,2,191518875636,94978702011
Merangin,3,231474035890,197487129304
Merangin,4,310543382499,311561036355
Merangin,5,389131662151,431122814115
Merangin,6,605623719426,611744594667
Merangin,7,609690923671,702650751709
Merangin,8,774851258183,768396152199
Merangin,9,898266355029,872346583206
Merangin,10,898337937529,915918526354
Merangin,11,898337937529,915918526354
Merangin,12,1375629216069,1495146655793
Tebo,1,98735914218,19691266218
Tebo,2,159434063660,40958057442
Tebo,3,244390925551,89305711940
Tebo,4,353558162673,149470781564
Tebo,5,421143870920,250053151976
Tebo,6,511208181288,380277111322
Tebo,7,602438640986,507261198294
Tebo,8,678027350803,606458283446
Tebo,9,775749559643,699806006867
Tebo,10,894230231054,762146312430
Tebo,11,994200835840,895139796070
Tebo,12,1208833647433,1170760705398
Bungo,1,110628012987,31.669.646.706
Bungo,2,186629898807,82.089.484.967
Bungo,3,274647149477,178.383.809.532
Bungo,4,353055791310,297.156.674.501
Bungo,5,449880902792,395.080.097.876
Bungo,6,488000964741,411.027.869.578
Bungo,7,609084364035,545.183.691.111
Bungo,8,745301032821,602.083.169.809
Bungo,9,917742427961,743.593.923.042
Bungo,10,1011233017648,837.861.487.297
Bungo,11,1122554313683,958.215.599.477
Bungo,12,1304974027370,1.154.624.658.021
Kerinci,1,0,23.376.264.098
Kerinci,2,0,47.181.893.458
Kerinci,3,0,71.316.108.333
Kerinci,4,0,108.422.110.358
Kerinci,5,219.594.732.591,214.698.771.465
Kerinci,6,351.193.317.015,288.974.865.154
Kerinci,7,397.111.693.375,356.513.346.640
Kerinci,8,550.050.072.147,410.757.233.631
Kerinci,9,562.361.209.425,477.208.070.449
Kerinci,10,664.439.048.068,535.323.698.624
Kerinci,11,751.859.057.298,649.997.586.692
Kerinci,12,842.887.000.765,663.837.500.573
Sungai Penuh,1,37.487.031.690,13.095.528.258
Sungai Penuh,2,56.010.973.084,27.130.984.795
Sungai Penuh,3,107.103.693.339,44.987.542.278
Sungai Penuh,4,118.006.989.619,113.605.364.670
Sungai Penuh,5,171.069.938.754,180.070.911.164
Sungai Penuh,6,269.675.662.406,254.253.343.537
Sungai Penuh,7,344.068.848.042,313.836.631.377
Sungai Penuh,8,394.745.520.102,361.610.467.618
Sungai Penuh,9,485.472.689.359,418.823.280.508
Sungai Penuh,10,508.288.338.130,470.812.784.821
Sungai Penuh,11,578.470.755.410,551.563.717.785
Sungai Penuh,12,722.053.305.801,754.674.125.965